horodatage,media,reussis,echecs
2026-06-08T10:57:44,valeurs_actuelles,4900,1
2026-06-08T11:18:40,le_capital,4993,8
2026-06-08T11:18:40,le_figaro,3161,1840
2026-06-08T11:18:40,le_journal_du_dimanche,4951,50
2026-06-08T11:18:40,le_monde,1731,3270
2026-06-08T11:18:40,le_nouvel_observateur,4825,176
2026-06-08T11:18:40,les_echos,4995,6
2026-06-08T11:18:40,nice_matin,4468,533
2026-06-08T11:18:40,paris_match,4731,270
2026-06-08T11:18:40,telerama,4451,550
2026-06-08T11:18:40,valeurs_actuelles,5000,1
2026-06-08T11:39:54,le_capital,5093,8
2026-06-08T11:39:54,le_figaro,3216,1885
2026-06-08T11:39:54,le_journal_du_dimanche,5050,51
2026-06-08T11:39:54,le_monde,1772,3329
2026-06-08T11:39:54,le_nouvel_observateur,4923,178
2026-06-08T11:39:54,les_echos,5095,6
2026-06-08T11:39:54,nice_matin,4568,533
2026-06-08T11:39:54,paris_match,4800,301
2026-06-08T11:39:54,telerama,4550,551
2026-06-08T11:39:54,valeurs_actuelles,5100,1
2026-06-08T12:00:30,le_capital,5193,8
2026-06-08T12:00:30,le_figaro,3289,1912
2026-06-08T12:00:30,le_journal_du_dimanche,5149,52
2026-06-08T12:00:30,le_monde,1812,3389
2026-06-08T12:00:30,le_nouvel_observateur,5020,181
2026-06-08T12:00:30,les_echos,5195,6
2026-06-08T12:00:30,nice_matin,4667,534
2026-06-08T12:00:30,paris_match,4883,318
2026-06-08T12:00:30,telerama,4650,551
2026-06-08T12:00:30,valeurs_actuelles,5200,1
2026-06-08T12:22:40,le_capital,5293,8
2026-06-08T12:22:40,le_figaro,3347,1954
2026-06-08T12:22:40,le_journal_du_dimanche,5249,52
2026-06-08T12:22:40,le_monde,1843,3458
2026-06-08T12:22:40,le_nouvel_observateur,5120,181
2026-06-08T12:22:40,les_echos,5295,6
2026-06-08T12:22:40,nice_matin,4767,534
2026-06-08T12:22:40,paris_match,4976,325
2026-06-08T12:22:40,telerama,4748,553
2026-06-08T12:22:40,valeurs_actuelles,5300,1
2026-06-08T12:44:49,le_capital,5393,8
2026-06-08T12:44:49,le_figaro,3402,1999
2026-06-08T12:44:49,le_journal_du_dimanche,5347,54
2026-06-08T12:44:49,le_monde,1874,3527
2026-06-08T12:44:49,le_nouvel_observateur,5217,184
2026-06-08T12:44:49,les_echos,5395,6
2026-06-08T12:44:49,nice_matin,4867,534
2026-06-08T12:44:49,paris_match,5065,336
2026-06-08T12:44:49,telerama,4846,555
2026-06-08T12:44:49,valeurs_actuelles,5400,1
2026-06-08T13:07:16,le_capital,5493,8
2026-06-08T13:07:16,le_figaro,3477,2024
2026-06-08T13:07:16,le_journal_du_dimanche,5447,54
2026-06-08T13:07:16,le_monde,1911,3590
2026-06-08T13:07:16,le_nouvel_observateur,5316,185
2026-06-08T13:07:16,les_echos,5495,6
2026-06-08T13:07:16,nice_matin,4966,535
2026-06-08T13:07:16,paris_match,5159,342
2026-06-08T13:07:16,telerama,4946,555
2026-06-08T13:07:16,valeurs_actuelles,5500,1
2026-06-08T13:29:27,le_capital,5593,8
2026-06-08T13:29:27,le_figaro,3539,2062
2026-06-08T13:29:27,le_journal_du_dimanche,5546,55
2026-06-08T13:29:27,le_monde,1944,3657
2026-06-08T13:29:27,le_nouvel_observateur,5413,188
2026-06-08T13:29:27,les_echos,5595,6
2026-06-08T13:29:27,nice_matin,5066,535
2026-06-08T13:29:27,paris_match,5254,347
2026-06-08T13:29:27,telerama,5046,555
2026-06-08T13:29:27,valeurs_actuelles,5600,1
2026-06-08T13:51:26,le_capital,5693,8
2026-06-08T13:51:26,le_figaro,3603,2098
2026-06-08T13:51:26,le_journal_du_dimanche,5643,58
2026-06-08T13:51:26,le_monde,1979,3722
2026-06-08T13:51:26,le_nouvel_observateur,5513,188
2026-06-08T13:51:26,les_echos,5695,6
2026-06-08T13:51:26,nice_matin,5166,535
2026-06-08T13:51:26,paris_match,5343,358
2026-06-08T13:51:26,telerama,5145,556
2026-06-08T13:51:26,valeurs_actuelles,5700,1
2026-06-08T14:13:12,le_capital,5793,8
2026-06-08T14:13:12,le_figaro,3662,2139
2026-06-08T14:13:12,le_journal_du_dimanche,5742,59
2026-06-08T14:13:12,le_monde,2016,3785
