horodatage,media,dans_sitemap,ajoutees
2026-07-16T17:40:01,le_nouvel_observateur,80,16
2026-07-16T17:40:01,le_monde,205,64
2026-07-16T17:40:01,les_echos,237,101
2026-07-16T17:40:01,telerama,36,14
2026-07-16T17:40:01,valeurs_actuelles,35,16
2026-07-16T17:40:01,l_opinion,61,15
2026-07-16T17:40:01,challenges,32,15
2026-07-16T17:40:01,paris_match,100,32
2026-07-16T17:40:01,atlantico,28,12
2026-07-16T17:40:01,la_depeche,999,212
2026-07-16T17:40:01,le_telegramme,1046,37
2026-07-16T17:40:01,nice_matin,257,100
2026-07-16T17:40:01,le_journal_du_dimanche,100,19
2026-07-16T17:40:01,sud_ouest,829,310
2026-07-16T17:40:01,mediapart,2508,14
2026-07-16T17:40:01,gala,129,44
2026-07-16T17:40:01,voici,93,36
2026-07-16T17:40:01,bfmtv,920,301
2026-07-16T17:40:01,ouest_france,3039,802
2026-07-16T17:40:01,leparisien,1000,156
2026-07-16T17:40:01,la_croix,96,38
2026-07-16T17:40:01,laprovence,300,122
2026-07-16T17:40:01,marianne,30,13
2026-07-16T17:40:01,midilibre,613,110
2026-07-16T17:40:01,paris_normandie,154,69
2026-07-16T17:40:01,latribune,100,25
2026-07-16T17:40:01,liberation,100,49
2026-07-16T17:40:01,20minutes,255,108
2026-07-16T17:40:01,cnews,98,58
