a,b,lag,pearson,spearman,pearson_seg,spearman_seg,n
ouestfrance,ouestfrance,0,1.0000,1.0000,1.0000,1.0000,26118
ouestfrance,ouestfrance,1,0.8691,0.7200,0.0856,0.1254,26118
ouestfrance,ouestfrance,2,0.8275,0.6640,-0.0145,0.0309,26118
ouestfrance,ouestfrance,3,0.7991,0.6324,-0.0511,-0.0018,26118
ouestfrance,ouestfrance,4,0.7852,0.6135,-0.0717,-0.0292,26118
ouestfrance,ouestfrance,5,0.7850,0.6085,-0.0850,-0.0362,26118
ouestfrance,ouestfrance,6,0.7729,0.5941,-0.0924,-0.0478,26118
ouestfrance,ouestfrance,7,0.7778,0.6149,-0.0178,0.0135,26118
ouestfrance,ouestfrance,8,0.7755,0.5885,-0.0970,-0.0435,26118
ouestfrance,ouestfrance,9,0.7743,0.5763,-0.1033,-0.0531,26118
ouestfrance,ouestfrance,10,0.7696,0.5667,-0.1068,-0.0567,26118
ouestfrance,ouestfrance,11,0.7581,0.5583,-0.1008,-0.0488,26118
ouestfrance,ouestfrance,12,0.7667,0.5605,-0.0944,-0.0476,26118
ouestfrance,ouestfrance,13,0.7577,0.5628,-0.0940,-0.0462,26118
ouestfrance,ouestfrance,14,0.7611,0.5723,-0.0564,-0.0158,26118
ouestfrance,ouestfrance,15,0.7578,0.5559,-0.0885,-0.0376,26118
