date,20minutes,atlantico,bfmtv,challenges,cnews,francesoir,gala,l_opinion,la_croix,la_depeche,laprovence,latribune,le_capital,le_courrier_de_l_ouest,le_journal_du_dimanche,le_maine_libre,le_marin,le_nouvel_observateur,le_telegramme,leparisien,marianne,midilibre,nice_matin,ouest_france2,paris_match,paris_normandie,presse_ocean,sud_ouest,telerama,valeurs_actuelles,voici,voiles_et_voiliers,lemonde,lefigaro,lesechos,mediapart
20080422,24022,0,3082,16310,0,0,4836,0,9131,2423,0,0,4196,0,14296,0,0,0,0,0,0,0,0,1521,7799,0,0,0,1193,10657,0,0,69106,94557,57355,12017
20080423,29055,0,1434,17815,0,0,2009,0,12345,3770,616,0,4631,0,14267,0,0,0,0,0,0,0,0,1062,62,0,0,0,2163,9333,0,0,68857,82010,61345,4561
20080424,27801,0,5401,13906,0,0,6252,0,6636,3667,137,0,3565,0,12139,0,0,0,0,0,0,0,0,3207,110,0,0,0,1141,0,0,0,85351,89806,64941,8257
20080425,27797,0,1031,15655,0,0,4992,0,8001,1076,0,0,3944,0,8433,0,0,0,0,0,0,0,0,4158,402,0,0,0,5783,0,0,0,77410,94011,75400,2903
20080426,4993,0,422,0,0,0,0,0,193,664,0,0,0,0,14610,0,0,0,0,0,250,0,0,2618,0,0,0,0,14981,0,0,0,45782,139467,670,836
20080427,6127,0,0,136,0,0,0,0,5773,1647,139,0,0,0,20039,0,0,0,0,0,0,0,0,3639,0,0,0,0,426,0,0,0,5296,53562,393,5755
20080428,27278,0,2417,11904,0,0,3895,0,8175,542,0,0,6027,0,8357,0,0,0,0,0,0,0,0,1811,48,0,0,0,4024,6332,0,0,81250,84263,63367,6363
20080429,26883,0,3072,15960,0,0,4845,0,8020,1752,160,0,2881,0,13474,0,0,0,0,0,0,0,0,2751,1341,0,0,0,3877,6750,0,0,66787,90989,61450,7163
20080430,24692,0,3930,11984,0,0,5517,0,1719,1507,711,0,2162,0,11710,0,0,0,0,0,0,0,0,4254,1006,0,0,0,369,0,0,0,79035,93389,66906,3539
20080501,6116,0,1570,30188,0,0,290,0,6616,0,0,0,0,0,5672,0,0,0,0,0,0,0,0,0,2010,0,0,0,0,0,0,273,6225,40589,588,2245
20080502,15600,0,2661,12364,0,0,6663,0,7219,3271,180,0,2587,0,7784,0,0,0,0,0,0,0,0,1944,68,0,0,0,5320,0,0,0,50101,78367,41680,4846
20080503,5987,0,0,2429,0,0,0,0,591,824,110,0,0,0,7496,0,0,0,0,0,124,0,0,3500,0,0,0,0,16093,0,0,0,52473,140825,0,3146
20080504,6924,0,0,0,0,0,0,0,5100,2429,0,0,0,0,17920,0,0,0,0,0,0,0,0,502,0,0,0,0,408,0,0,0,6962,47587,1605,3032
20080505,26229,0,4222,10043,0,0,4651,0,6802,2347,1265,0,1888,0,14061,0,0,0,0,0,0,0,0,1750,141,0,0,0,4057,2914,0,0,123795,92281,71871,7086
20080506,21206,0,3435,12563,0,0,3216,0,11492,3023,0,0,3269,0,28354,0,0,0,0,0,0,0,0,2412,8333,0,0,0,2600,12683,0,0,14980,84554,55615,7929
20080507,31658,0,2891,12522,0,0,4980,0,988,729,0,0,4117,0,14727,0,0,0,0,0,0,0,0,3035,1320,0,0,0,8077,0,0,0,80607,95743,66482,11272
20080508,5813,0,2116,834,0,0,428,0,7066,474,0,0,0,0,7064,0,0,0,0,0,0,0,0,2233,31,0,0,0,1195,0,0,0,80626,64667,10783,4924
20080509,10630,0,1663,9166,0,0,4906,0,8586,2892,492,0,3568,0,8719,0,0,0,0,0,0,0,0,2139,0,0,0,0,9820,0,0,0,90616,62516,84914,2006
20080510,5500,0,0,0,0,0,230,0,1334,2208,697,0,0,0,9623,0,0,0,0,0,355,0,0,2835,0,0,0,0,13867,0,0,0,54933,159345,1416,3678
20080511,6293,0,0,0,0,0,0,0,0,1868,0,0,0,0,30860,0,0,0,0,0,0,0,0,1189,0,0,0,0,454,0,0,0,5662,44579,948,0
20080512,9074,0,4618,8445,0,0,1650,0,8785,4049,0,0,1401,0,6319,0,0,0,0,0,0,0,0,1463,0,0,0,0,786,0,0,0,78901,51287,14102,1515
20080513,21696,0,3283,11864,0,0,5147,0,12156,3900,290,0,4545,0,14462,0,0,0,0,0,0,0,0,2401,7682,0,0,0,3871,6997,0,0,69889,80524,69168,7480
20080514,29499,0,3022,14122,0,0,4455,0,11118,6276,162,0,2468,0,16235,0,0,0,0,0,0,0,0,1948,1022,0,0,0,3786,9834,0,0,66304,95097,76787,4531
20080515,29710,0,3015,10864,0,0,4022,0,9737,2899,0,0,3239,0,12498,0,0,0,0,0,0,0,0,3452,1673,0,0,0,5540,0,0,0,101890,102212,67934,9051
20080516,22835,0,3531,15488,0,0,3273,0,7527,2124,825,0,2049,0,12641,0,0,0,0,0,0,0,0,2806,1382,0,0,0,6014,0,333,0,103974,81865,65083,7885
20080517,11356,0,0,0,0,0,1451,0,530,2577,267,0,0,0,10063,0,0,0,0,0,804,0,0,1780,0,0,0,0,27484,0,0,0,56232,145736,3289,1991
20080518,10154,0,389,0,0,0,933,0,10466,2304,918,0,0,0,30710,0,0,0,0,0,0,0,0,350,0,0,0,0,1683,0,0,0,12933,37434,2764,0
20080519,32283,0,2941,12824,0,0,3929,0,9279,2673,148,0,3077,0,12981,0,0,0,0,0,0,0,0,1549,652,0,0,0,3732,0,0,0,81279,86966,67014,13349
20080520,25906,0,1947,9297,0,0,3422,0,8186,3019,0,0,4924,0,14187,0,0,0,0,0,0,0,0,1419,5013,0,0,0,5186,6634,129,0,64621,81137,66834,6070
20080521,29503,0,2863,13943,0,0,5223,0,12241,2163,352,0,2124,0,14525,0,0,0,0,0,0,0,0,4979,801,0,0,0,4863,10266,0,0,75358,95244,74431,5528
20080522,38295,0,1974,11095,0,0,3320,0,7813,2549,50,0,2899,0,13916,0,0,0,0,0,0,0,0,2774,629,0,0,0,4139,0,0,0,135973,95468,66290,12599
20080523,24678,0,3964,11492,0,0,4644,0,11280,2521,0,0,4859,0,12254,0,0,0,0,0,0,0,0,3299,237,0,0,0,3809,0,0,0,91208,112540,85467,3294
20080524,8460,0,0,151,0,0,0,0,161,2656,0,0,0,0,17294,0,0,0,0,0,192,0,0,1169,0,0,0,0,16887,0,0,0,53459,64391,3211,5702
20080525,9885,0,0,0,0,0,1228,0,6263,3930,0,0,0,0,31436,0,0,0,0,0,0,0,0,1432,0,0,0,0,1714,0,0,0,7792,40175,3368,969
