mot,total,jours_actifs,n_medias
parlementaire,264766,6786,36
l'institut,485049,6800,36
experts,359151,6800,36
désir,193692,6800,36
musique,1718263,6804,36
privé,552853,6804,36
d'ici,1021783,6804,36
clair,491528,6803,36
rappeler,382696,6801,36
quartier,1264504,6804,36
rythme,612554,6804,36
quitter,506140,6803,36
revenu,521230,6804,36
idée,477052,6804,36
banque,934690,6804,36
mode,788638,6804,36
l'éducation,444790,6790,36
solidarité,643662,6803,36
d'affaires,902268,6804,36
l'importance,286351,6795,36
silence,373105,6801,36
lettres,315478,6791,36
voiture,1119291,6804,36
facile,524853,6804,36
délégation,278831,6793,36
carrière,952414,6804,36
confirmé,571305,6804,36
parfaitement,395881,6803,36
victime,1094832,6804,36
l'arrivée,843723,6804,36
million,634015,6801,36
bruxelles,403041,6794,36
l'intention,193341,6797,36
marque,1101000,6804,36
quitté,409063,6804,36
aient,172356,6796,36
idées,474226,6804,36
internationales,257517,6799,36
recours,497155,6797,36
généralement,251273,6793,36
servir,334057,6803,36
répond,451527,6803,36
développer,631007,6798,36
fonctionnaires,233114,6780,36
donnée,244852,6799,36
principes,161708,6782,36
l'activité,619166,6797,36
précisément,246098,6796,36
salaires,286751,6787,36
séance,700692,6802,36
établi,269036,6800,36
l'article,287743,6779,36
pièces,556250,6797,36
baisse,1297275,6804,36
graves,293698,6797,36
recevoir,463566,6804,36
positions,187308,6796,36
auteurs,449600,6801,36
parisienne,367175,6802,36
crédit,498639,6804,36
appelle,427027,6803,36
côtés,700004,6804,36
mm,206772,6755,36
lieux,1090438,6804,36
estimé,766062,6804,36
élus,1623851,6804,36
effets,428498,6801,36
consommation,709882,6802,36
port,1020687,6802,36
considère,256590,6797,36
refus,267744,6801,36
course,1540481,6804,36
chercher,519619,6804,36
remettre,547339,6804,36
fer,321695,6802,36
n'avaient,269448,6804,36
mère,1419032,6804,36
marie,1764385,6804,36
communes,1650590,6801,36
spectacle,1461820,6803,36
postes,507155,6800,36
l'impression,334819,6803,36
adjoint,808488,6800,36
l'avait,345007,6804,36
