mot,date,surprise,c1_s4,c2_s4,c3_s4,c4_s4,c1_s6,c2_s6,c3_s6,c4_s6
travail,20160525,9.5604,1.4784,1.2117,0.7732,1.3047,1.7997,0.4791,0.7389,1.0428
travail,20170607,5.9796,1.2204,0.5746,-1.0361,1.7591,,,,
travail,20170911,4.8263,1.4109,1.2564,-1.3728,3.0029,,,,
situation,20110317,4.0424,0.0278,2.3747,-0.3747,-0.6389,,,,
situation,20200320,10.1714,4.4499,0.5998,-1.1723,0.6107,4.2835,-0.7172,-1.5991,0.8222
situation,20201028,4.3305,3.4137,1.4424,-0.1856,1.9302,,,,
presse,20080528,4.5521,-0.8738,-1.3763,-1.2742,3.2756,,,,
presse,20081001,5.8825,0.242,1.3223,1.1797,1.6956,,,,
presse,20100620,4.5183,1.2433,0.1976,-0.1668,1.3186,,,,
presse,20120615,5.662,-3.2663,-0.2244,1.786,0.2945,,,,
presse,20140115,8.5606,1.462,1.159,-1.0645,0.599,1.4937,0.6753,-1.0017,0.8004
presse,20150107,9.3665,2.2828,-0.0084,2.2282,0.1339,2.2036,-1.0657,1.9698,0.0615
presse,20190425,4.4175,-0.5792,0.4584,-0.5457,-0.2058,,,,
parti,20081124,5.671,0.1779,3.9035,-0.5783,1.155,,,,
parti,20090607,9.1087,-0.741,-0.8421,-0.6102,-0.8967,-1.2197,-0.4893,-0.6639,-0.5984
parti,20120507,5.7916,2.012,-0.0317,0.0301,0.6471,,,,
parti,20140527,5.8708,-0.4197,0.9109,-1.5418,-0.6969,,,,
parti,20150323,5.4418,0.1139,-0.55,0.1596,0.483,,,,
parti,20151206,4.4949,0.9843,-0.1334,2.3995,-0.3013,,,,
parti,20170610,5.1034,-1.2055,0.3745,2.9114,-0.5697,,,,
parti,20190528,5.9031,-0.4293,2.2333,-1.475,-0.8574,,,,
parti,20240609,6.9234,3.4377,-0.4379,0.7671,0.7618,3.0476,-1.6135,0.3973,0.8109
conseil,20080323,13.7158,-1.322,1.6391,-0.8421,-0.7187,-0.8777,2.1094,-0.6333,-0.4031
conseil,20140331,4.8067,1.4362,0.5252,1.9378,-0.0445,,,,
conseil,20260322,6.1155,1.7275,0.5225,1.832,-0.136,1.7578,-0.3787,1.6313,-0.2241
hommes,20080817,5.2043,1.1075,1.9887,1.0585,-0.9187,,,,
hommes,20140307,4.1652,-1.9575,1.1947,-0.8081,-0.3343,,,,
hommes,20180307,5.9712,-2.2162,-0.272,0.198,-0.9619,,,,
hommes,20190308,5.9503,-1.0371,-0.1319,-1.2624,0.2399,,,,
hommes,20240308,4.1501,-0.4468,-0.2986,-0.988,-0.9984,,,,
hommes,20240805,4.2081,1.5749,1.7712,-1.6407,-0.0924,,,,
suite,20110516,4.6623,-0.7169,-0.6997,1.1747,-0.3698,,,,
suite,20151115,5.5657,2.087,0.0046,2.3818,0.1046,,,,
suite,20220611,5.416,-3.0616,-0.7604,0.3478,0.1365,,,,
ci,20240630,4.4635,0.6603,-0.9945,1.01,1.0977,,,,
jean,20080323,8.4676,-3.5376,2.233,0.4438,-0.1668,-2.4534,3.3686,1.0692,0.0029
jean,20140331,5.1234,-1.2032,1.3578,1.3612,0.6722,,,,
porte,20081230,6.5701,-1.2921,3.4188,1.4479,-0.7441,0.0838,3.4606,1.7271,-0.9331
porte,20110320,7.3695,0.9964,1.885,0.4687,0.7209,1.5166,1.4103,0.5297,0.6672
porte,20150110,12.0309,-0.2937,-0.8602,0.1806,0.1472,-0.7638,-0.7796,0.1502,0.3311
soir,20151115,7.2476,1.1174,-1.5324,0.3588,0.003,0.4002,-1.8484,0.0673,0.1203
début,20191230,9.0147,0.7291,2.8426,-0.5302,0.8391,1.5429,2.4554,-0.125,0.879
début,20200501,11.3511,-0.2899,3.1127,-0.8793,1.3929,0.7034,3.1442,-0.3233,1.4313
début,20200823,9.494,-1.6742,3.5294,0.4895,0.6108,-0.2856,3.8919,0.9293,0.3429
début,20210502,5.4855,0.1821,2.4109,0.7809,1.4058,,,,
l'un,20151115,10.4166,-0.4776,-0.6223,0.0106,-0.1959,-0.8176,-0.4022,0.1029,0.1943
l'un,20160727,5.9264,1.9062,0.3522,1.7364,0.798,,,,
millions,20080730,6.8434,0.4439,1.7865,-1.1683,-0.3469,1.0256,1.7891,-0.8922,0.1495
millions,20081215,4.5602,-1.4277,1.0822,1.841,1.2788,,,,
droit,20080320,5.0541,0.7627,-3.5499,-1.5914,0.1532,,,,
droit,20180912,4.1815,1.179,-1.2911,-0.9159,0.08,,,,
droit,20220626,5.6106,0.3553,-0.0298,0.7052,-1.6201,,,,
vingt,20080314,4.0212,0.3662,-0.8687,-0.5219,-0.1806,,,,
vingt,20080627,5.1279,0.3635,3.1192,0.2998,2.1273,,,,
vingt,20081230,5.4943,-3.2618,1.5303,1.3705,0.2921,,,,
vingt,20180714,5.3165,-0.2831,1.5567,0.5771,-1.932,,,,
vingt,20210911,4.7807,0.9011,1.2218,-1.4986,1.0287,,,,
