mot,categorie,source
totale,adj,lexique
activités,nom,lexique
georges,nom_propre,spacy
vente,nom,lexique
venus,nom,lexique
andré,nom_propre,spacy
probablement,autre,lexique
condamné,nom,lexique
discussion,nom,lexique
né,adj,lexique
locaux,nom,lexique
manifestations,nom,lexique
soirée,nom,lexique
l'évolution,nom,lexique
entend,verbe,lexique
partisans,nom,lexique
critiques,nom,lexique
activité,nom,lexique
rappelé,adj,lexique
époque,nom,lexique
conséquence,nom,lexique
gouvernements,nom,lexique
discussions,nom,lexique
choisi,adj,lexique
soumis,adj,lexique
suisse,nom,lexique
civile,nom,lexique
faudra,verbe,lexique
gagner,verbe,lexique
montant,nom,lexique
adopté,nom,lexique
assure,verbe,lexique
reconnu,adj,lexique
prévue,verbe,lexique
avis,nom,lexique
sol,nom,lexique
culture,nom,lexique
changement,nom,lexique
mauvais,nom,lexique
mouvements,nom,lexique
histoire,nom,lexique
essentiellement,autre,lexique
prêts,nom,lexique
lorsqu'il,autre,lexique
respect,nom,lexique
débats,nom,lexique
s'étaient,verbe,lexique
quatrième,nom,lexique
disposition,nom,lexique
charles,nom_propre,spacy
conclu,verbe,lexique
l'entrée,nom,lexique
faudrait,verbe,lexique
sociétés,nom,lexique
l'absence,nom,lexique
provoqué,adj,lexique
opération,nom,lexique
revenir,verbe,lexique
protection,nom,lexique
tâche,nom,lexique
commence,verbe,lexique
jeunesse,nom,lexique
comprend,verbe,lexique
besoins,nom,lexique
précédent,nom,lexique
montrer,verbe,lexique
frontière,nom,lexique
travailleurs,nom,lexique
frais,nom,lexique
l'origine,nom,lexique
soldats,nom,lexique
figure,nom,lexique
lumière,nom,lexique
sociaux,adj,lexique
bilan,nom,lexique
augmentation,nom,lexique
élu,nom,lexique
connaissance,nom,lexique
centaines,nom,lexique
familles,nom,lexique
soutien,nom,lexique
chance,nom,lexique
importants,nom,lexique
marche,nom,lexique
socialistes,nom,lexique
réduction,nom,lexique
répondu,verbe,lexique
livres,nom,lexique
estiment,verbe,lexique
financière,nom,lexique
appelé,nom,lexique
contact,nom,lexique
article,nom,lexique
blanche,nom,lexique
vaste,adj,lexique
explique,verbe,lexique
devaient,verbe,lexique
roi,nom,lexique
enquête,nom,lexique
signe,nom,lexique
grève,nom,lexique
moderne,nom,lexique
souhaite,verbe,lexique
l'université,nom,lexique
attendant,adj,lexique
procédure,nom,lexique
accords,nom,lexique
d'europe,nom_propre,spacy
l'équipe,nom,lexique
tirer,verbe,lexique
aussitôt,autre,lexique
publiques,adj,lexique
retrouver,verbe,lexique
parlementaire,nom,lexique
l'institut,nom,lexique
experts,nom,lexique
désir,nom,lexique
musique,nom,lexique
privé,nom,lexique
d'ici,autre,lexique
clair,nom,lexique
rappeler,verbe,lexique
quartier,nom,lexique
rythme,nom,lexique
quitter,verbe,lexique
revenu,nom,lexique
idée,nom,lexique
banque,nom,lexique
mode,nom,lexique
l'éducation,nom,lexique
solidarité,nom,lexique
d'affaires,nom,lexique
l'importance,nom,lexique
silence,nom,lexique
lettres,nom,lexique
voiture,nom,lexique
facile,adj,lexique
délégation,nom,lexique
carrière,nom,lexique
confirmé,adj,lexique
parfaitement,autre,lexique
victime,nom,lexique
l'arrivée,nom,lexique
million,nom,lexique
bruxelles,nom,spacy
l'intention,nom,lexique
marque,nom,lexique
quitté,verbe,lexique
aient,verbe,lexique
idées,nom,lexique
internationales,adj,lexique
recours,nom,lexique
généralement,autre,lexique
servir,verbe,lexique
répond,verbe,lexique
développer,verbe,lexique
fonctionnaires,nom,lexique
donnée,nom,lexique
principes,nom,lexique
l'activité,nom,lexique
précisément,autre,lexique
