mot,date,X_t,N_t,f_t,p_t,surprise,n_absorbes
région,20151127,660,630060,104.75,2.719e-10,9.57,2
région,20210625,466,686498,67.88,6.309e-05,4.2,0
commission,19451217,171,114334,149.56,3.459e-05,4.46,0
commission,19460911,288,156146,184.44,5.99e-07,6.22,8
commission,19470807,206,133981,153.75,1.968e-05,4.71,0
commission,19500328,305,178890,170.5,2.594e-06,5.59,1
commission,19511224,281,197602,142.21,5.439e-05,4.26,0
décidé,19471122,69,129310,53.36,4.154e-06,5.38,1
décidé,19680522,207,346177,59.8,9.613e-10,9.02,0
pierre,19450808,150,95904,156.41,2.997e-09,8.52,1
pierre,19880612,759,453740,167.28,1.769e-11,10.75,3
pierre,19920326,961,518800,185.24,2.789e-13,12.55,1
pierre,19930326,1356,722293,187.74,1.203e-13,12.92,1
pierre,19940323,805,572975,140.49,5.093e-09,8.29,1
pierre,19970524,635,585892,108.38,3.88e-06,5.41,0
pierre,19980319,873,575397,151.72,4.484e-10,9.35,0
pierre,20010316,2152,1525842,141.04,3.111e-09,8.51,0
pierre,20040326,806,723999,111.33,1.995e-06,5.7,1
deuxième,20080815,179,386823,46.27,4.336e-05,4.36,0
deuxième,20140815,173,378781,45.67,6.335e-05,4.2,0
deuxième,20150828,232,524146,44.26,8.294e-05,4.08,0
deuxième,20160812,226,494490,45.7,3.916e-05,4.41,0
parole,20030321,287,632832,45.35,3.476e-06,5.46,0
grandes,19451130,70,121341,57.69,1.181e-06,5.93,1
grandes,19461030,74,150913,49.03,3.867e-05,4.41,0
grandes,19690114,158,370057,42.7,8.8e-05,4.06,0
grandes,19910515,205,477000,42.98,4.378e-05,4.36,0
derniers,20170616,254,730716,34.76,1.04e-07,6.98,0
grâce,19590424,93,221102,42.06,6.381e-05,4.2,0
grâce,20170616,458,730716,62.68,3.558e-16,15.45,2
