mot,date,X_t,N_t,f_t,p_t,surprise
guerre,19450731,215,116418,184.68,5.931e-05,4.23
guerre,19450808,251,95904,261.72,9.067e-08,7.04
guerre,19450816,273,115147,237.09,6.701e-07,6.17
guerre,19450901,206,86655,237.72,8.324e-07,6.08
guerre,19450910,233,115772,201.26,1.481e-05,4.83
guerre,19450918,201,98953,203.13,1.417e-05,4.85
guerre,19451012,204,112196,181.82,7.677e-05,4.11
guerre,19451029,214,104980,203.85,1.274e-05,4.89
guerre,19451106,200,108710,183.98,6.554e-05,4.18
guerre,19910117,1095,412237,265.62,2.518e-08,7.60
guerre,19910124,1333,442531,301.22,8.456e-10,9.07
guerre,19910201,1220,475303,256.68,5.584e-08,7.25
guerre,19910209,919,406118,226.29,9.513e-07,6.02
guerre,19910216,908,380590,238.58,3.157e-07,6.50
guerre,19910223,837,436452,191.77,2.029e-05,4.69
guerre,19910303,786,447043,175.82,8.013e-05,4.10
guerre,20030214,1172,541713,216.35,2.200e-06,5.66
guerre,20030221,948,525894,180.26,5.343e-05,4.27
guerre,20030321,2120,632832,335.00,2.898e-11,10.54
guerre,20030328,1766,552762,319.49,1.360e-10,9.87
guerre,20030404,1353,572933,236.15,3.587e-07,6.45
guerre,20030411,1151,585541,196.57,1.269e-05,4.90
guerre,20220304,1447,672345,215.22,2.355e-06,5.63
six,19581215,181,203659,88.87,4.985e-06,5.30
six,19591124,180,231830,77.64,9.913e-05,4.00
six,19620118,226,271502,83.24,1.642e-05,4.78
six,19620726,195,244731,79.68,5.245e-05,4.28
six,19620803,225,213480,105.40,2.750e-08,7.56
six,19630114,216,277429,77.86,7.509e-05,4.12
six,19630122,210,270633,77.60,8.315e-05,4.08
six,19630130,256,285026,89.82,2.119e-06,5.67
six,19660729,201,257988,77.91,8.057e-05,4.09
six,19710818,212,263298,80.52,3.761e-05,4.42
moment,19541123,153,246823,61.99,9.750e-06,5.01
moment,19620523,185,303788,60.90,8.096e-06,5.09
moment,20200410,299,538176,55.56,4.767e-05,4.32
nationale,19460927,218,156428,139.36,1.277e-05,4.89
nationale,19470117,191,140530,135.91,2.456e-05,4.61
nationale,19470125,189,137541,137.41,2.004e-05,4.70
pouvoir,19580602,279,261321,106.77,1.759e-05,4.75
pouvoir,19680522,373,346177,107.75,1.041e-05,4.98
pouvoir,19680530,390,337018,115.72,1.499e-06,5.82
française,19450201,96,74306,129.20,2.310e-05,4.64
française,19450424,105,89029,117.94,9.317e-05,4.03
française,19450716,140,112631,124.30,2.402e-05,4.62
française,19450824,115,96114,119.65,6.362e-05,4.20
française,19460416,150,102337,146.57,7.064e-07,6.15
française,19460424,150,130303,115.12,8.620e-05,4.06
française,19460826,195,168567,115.68,6.001e-05,4.22
française,19460919,192,146773,130.81,5.630e-06,5.25
française,19470320,152,119898,126.77,1.465e-05,4.83
française,19470422,185,140927,131.27,5.502e-06,5.26
française,19600128,341,252755,134.91,1.507e-06,5.82
unis,19450416,149,87678,169.94,3.999e-06,5.40
unis,19450824,161,96114,167.51,4.753e-06,5.32
unis,19621024,402,288127,139.52,8.279e-05,4.08
unis,19640810,337,229538,146.82,3.350e-05,4.47
unis,19710818,388,263298,147.36,2.831e-05,4.55
unis,20010914,2467,1245878,198.01,4.424e-09,8.35
unis,20010921,2099,1271197,165.12,1.053e-06,5.98
unis,20010928,1952,1259414,154.99,5.226e-06,5.28
unis,20011005,1942,1320928,147.02,1.770e-05,4.75
unis,20030214,758,541713,139.93,6.099e-05,4.21
unis,20030321,911,632832,143.96,3.233e-05,4.49
nombre,19450910,102,115772,88.10,7.255e-06,5.14
nombre,20200327,447,610219,73.25,3.797e-05,4.42
nombre,20200410,389,538176,72.28,6.600e-05,4.18
nombre,20200501,421,547632,76.88,8.918e-06,5.05
côté,20080104,178,310314,57.36,1.318e-05,4.88
travail,19471122,172,129310,133.01,3.009e-06,5.52
travail,19471201,176,69475,253.33,2.873e-16,15.54
travail,19471209,153,68427,223.60,2.266e-13,12.64
travail,19680530,456,337018,135.30,4.549e-07,6.34
travail,19680607,618,360086,171.63,8.819e-11,10.05
travail,19680615,469,381766,122.85,5.975e-06,5.22
travail,19960419,592,505173,117.19,1.640e-05,4.79
travail,19971007,1256,1124034,111.74,3.834e-05,4.42
travail,20160311,777,703241,110.49,5.647e-05,4.25
travail,20160527,799,703192,113.62,2.971e-05,4.53
situation,19561103,263,254626,103.29,4.499e-06,5.35
situation,19680828,349,372479,93.70,3.259e-05,4.49
presse,19450116,53,55684,95.18,1.353e-05,4.87
presse,19450314,68,74494,91.28,9.727e-06,5.01
presse,19450824,100,96114,104.04,6.105e-08,7.21
presse,19460314,119,105976,112.29,2.211e-09,8.66
presse,19460416,95,102337,92.83,1.595e-06,5.80
presse,19470328,115,139544,82.41,1.408e-05,4.85
presse,19470405,139,149684,92.86,3.653e-07,6.44
presse,19470414,112,141780,79.00,3.870e-05,4.41
presse,19480228,109,134086,81.29,2.227e-05,4.65
presse,19650318,191,262785,72.68,8.387e-05,4.08
presse,19720204,298,316515,94.15,2.561e-08,7.59
presse,19741101,298,418003,71.29,7.551e-05,4.12
presse,19791103,383,484707,79.02,4.167e-06,5.38
presse,19831128,358,430660,83.13,1.038e-06,5.98
presse,19831214,352,396115,88.86,1.302e-07,6.89
presse,19860108,285,339502,83.95,1.106e-06,5.96
presse,20031205,523,634957,82.37,8.749e-07,6.06
voir,19610603,110,206054,53.38,9.762e-05,4.01
voir,19640818,111,201177,55.18,3.603e-05,4.44
voir,19650412,149,287086,51.90,6.240e-05,4.20
