mot,total,jours_actifs,n_medias
solidarité,649845,6808,36
d'affaires,925063,6809,36
l'importance,291863,6800,36
silence,379784,6806,36
lettres,319986,6796,36
voiture,1135509,6809,36
facile,536225,6808,36
délégation,283466,6798,36
carrière,979971,6809,36
confirmé,587427,6809,36
parfaitement,409330,6808,36
victime,1112420,6809,36
l'arrivée,867487,6809,36
million,647042,6806,36
bruxelles,406643,6799,36
l'intention,198042,6802,36
marque,1135525,6809,36
quitté,418450,6809,36
aient,175971,6801,36
idées,481135,6809,36
internationales,265642,6804,36
recours,507173,6802,36
généralement,258350,6798,36
servir,343026,6808,36
répond,458955,6808,36
développer,642620,6803,36
fonctionnaires,236624,6785,36
donnée,249839,6804,36
principes,166077,6787,36
l'activité,627316,6802,36
précisément,253272,6801,36
salaires,290336,6792,36
séance,708379,6807,36
établi,275159,6805,36
l'article,295715,6784,36
pièces,567901,6802,36
baisse,1302459,6809,36
graves,299848,6802,36
recevoir,470868,6809,36
positions,193110,6801,36
auteurs,457936,6806,36
parisienne,375935,6807,36
crédit,501610,6809,36
appelle,429856,6807,36
côtés,716690,6809,36
mm,211300,6760,36
lieux,1105090,6809,36
estimé,785930,6809,36
élus,1635664,6809,36
effets,437620,6806,36
consommation,723962,6807,36
port,1031173,6807,36
considère,263759,6802,36
refus,273573,6806,36
course,1578308,6809,36
chercher,532407,6809,36
remettre,557651,6809,36
fer,327467,6807,36
n'avaient,275393,6809,36
mère,1440574,6809,36
marie,1776805,6809,36
communes,1659733,6806,36
spectacle,1471484,6808,36
postes,515799,6805,36
l'impression,343852,6808,36
adjoint,815189,6805,36
l'avait,353732,6809,36
style,390268,6808,36
textes,327852,6803,36
dépenses,553137,6797,36
considéré,294735,6806,36
journaux,144334,6804,36
matériel,584138,6800,36
bois,1070142,6807,36
climat,476054,6803,36
perdre,497912,6809,36
violence,580283,6808,36
préparer,553201,6807,36
consacré,305605,6802,36
tenter,518281,6809,36
bons,712078,6809,36
candidats,874990,6805,36
armées,222306,6786,36
cesse,308317,6808,36
voire,725746,6809,36
étrangère,139193,6784,36
organisé,1020591,6806,36
revue,250060,6793,36
apparaît,247709,6800,36
importantes,279747,6799,36
équipe,2265965,6809,36
goût,445342,6809,36
arrive,684560,6809,36
nul,452646,6808,36
leader,677297,6809,36
claude,1005046,6809,36
joue,700714,6809,36
lyon,717289,6809,36
tenté,419836,6808,36
entier,348674,6807,36
