mot,cle,jours_actifs,total
faute,faute,25185,150654
soixante,soixante,25180,186704
l'an,l'an,25179,156124
présenter,presenter,25162,126654
uns,uns,25161,115177
démocratique,democratique,25147,153183
suivi,suivi,25141,146482
liste,liste,25136,227483
coups,coups,25131,138598
genre,genre,25129,160891
rester,rester,25128,155701
proposition,proposition,25122,157534
porté,porte,25122,120052
diverses,diverses,25116,123908
fonctions,fonctions,25115,140492
favorable,favorable,25113,117714
tôt,tot,25113,160292
syndicats,syndicats,25107,242625
rapports,rapports,25106,138037
l'ouest,l'ouest,25105,135216
pourront,pourront,25102,117345
restent,restent,25100,142079
représente,represente,25100,143052
participer,participer,25098,120952
demeure,demeure,25093,119615
court,court,25092,157610
unies,unies,25080,169350
allemande,allemande,25080,153170
rapide,rapide,25066,117123
bientôt,bientot,25063,113829
reprises,reprises,25061,116059
l'intérêt,l'interet,25061,117411
somme,somme,25057,123366
régions,regions,25056,163652
événements,evenements,25053,128849
poursuivre,poursuivre,25034,114302
signé,signe,25026,143253
tendance,tendance,25023,138650
durée,duree,25021,172715
organisations,organisations,25019,158173
prévoit,prevoit,25018,140187
créé,cree,25017,154543
européen,europeen,25016,310516
moyenne,moyenne,25011,197344
formule,formule,25009,129470
milliers,milliers,25005,176219
partout,partout,25004,133214
chine,chine,25001,317538
statut,statut,24993,164930
classe,classe,24992,163651
propositions,propositions,24990,154862
pression,pression,24988,159623
conseiller,conseiller,24980,163573
chemin,chemin,24977,134452
conscience,conscience,24975,144654
l'époque,l'epoque,24963,192480
tiers,tiers,24956,182270
refusé,refuse,24954,116023
critique,critique,24950,164869
ouest,ouest,24948,156353
mots,mots,24948,177720
l'association,l'association,24946,206963
michel,michel,24945,354945
sociales,sociales,24944,182836
beau,beau,24943,145394
entreprise,entreprise,24940,176076
journalistes,journalistes,24932,194283
prison,prison,24932,227533
personnalités,personnalites,24932,108465
petites,petites,24929,142562
françois,francois,24922,452642
élevé,eleve,24922,119672
coopération,cooperation,24916,181364
traité,traite,24915,175334
revient,revient,24915,125738
techniques,techniques,24913,150404
milieux,milieux,24913,143267
lignes,lignes,24912,124548
d'où,d'ou,24911,119502
danger,danger,24909,112027
franco,franco,24907,145086
devenu,devenu,24905,197675
unique,unique,24901,159895
devient,devient,24900,165383
responsable,responsable,24898,246416
députés,deputes,24898,217197
moindre,moindre,24897,125502
vérité,verite,24894,134537
centrale,centrale,24892,200482
maire,maire,24886,330706
central,central,24874,144382
pose,pose,24868,117428
arrivé,arrive,24867,109685
l'ouverture,l'ouverture,24859,136993
minutes,minutes,24859,172509
intérêt,interet,24858,105745
province,province,24855,136695
organisation,organisation,24854,121672
vigueur,vigueur,24854,109912
comprendre,comprendre,24852,154547
fallait,fallait,24844,126134
poids,poids,24844,135893
réserve,reserve,24842,113478
cents,cents,24841,203029
semblent,semblent,24831,110464
l'air,l'air,24825,128499
pratique,pratique,24824,153382
britanniques,britanniques,24824,141385
taux,taux,24821,388611
sinon,sinon,24818,106211
allemands,allemands,24810,150622
démocratie,democratie,24796,197427
cité,cite,24795,151333
nation,nation,24792,120943
ordre,ordre,24780,99702
noir,noir,24779,185587
suivant,suivant,24777,93785
supérieur,superieur,24771,147023
défendre,defendre,24770,117505
attendre,attendre,24762,109780
indique,indique,24758,150043
type,type,24758,171903
connaître,connaitre,24756,134635
chiffres,chiffres,24756,150867
aide,aide,24754,127296
réduire,reduire,24752,154799
habitants,habitants,24750,195129
dépit,depit,24750,108046
manifestation,manifestation,24748,146554
assuré,assure,24748,125979
réalisé,realise,24744,130365
croit,croit,24740,93782
portée,portee,24736,109047
ressources,ressources,24729,145508
montré,montre,24727,109409
sérieux,serieux,24725,106713
rend,rend,24723,115426
faible,faible,24720,129813
