mot,date,X_t,N_t,f_t,p_t,surprise,n_absorbes
vingt,20081230,195,787725,24.75,2.566858e-06,5.5906,3
vingt,20180714,734,3307377,22.19,5.455291e-06,5.2632,1
vingt,20210911,862,4037901,21.35,2.607363e-05,4.5838,0
demande,20081203,474,1139270,41.61,5.069789e-05,4.295,0
demande,20200326,2248,5039740,44.61,7.977211e-07,6.0981,4
raison,20100109,719,1465179,49.07,7.816587e-07,6.107,0
raison,20101220,884,1977242,44.71,1.692114e-05,4.7716,0
raison,20200317,2225,5125029,43.41,3.004032e-05,4.5223,0
nord,20180611,3308,4618499,71.63,2.812383e-05,4.5509,0
nord,20200516,4005,3637823,110.09,1.533796e-10,9.8142,7
nord,20200823,7328,3189046,229.79,1.319926e-29,28.8795,27
nord,20210207,3729,3882943,96.04,1.57735e-08,7.8021,2
nord,20210523,4417,3492968,126.45,5.650822e-13,12.2479,13
nord,20260813,9201,3719660,247.36,1.333963e-32,31.8749,0
secrétaire,20080210,483,847610,56.98,3.322847e-06,5.4785,1
secrétaire,20081124,647,886136,73.01,7.540524e-09,8.1226,2
secrétaire,20101114,820,1639155,50.03,3.2993e-05,4.4816,0
vue,20100801,511,1492255,34.24,2.777159e-05,4.5564,0
vue,20110416,872,2165113,40.28,9.220927e-09,8.0352,2
vue,20140702,1764,4266292,41.35,7.941723e-10,9.1001,0
vue,20160718,1156,3156634,36.62,7.059853e-07,6.1512,0
vue,20180720,1296,3992620,32.46,8.45766e-05,4.0727,0
vue,20181208,1250,3774315,33.12,4.180371e-05,4.3788,0
vue,20250327,1956,5478148,35.71,1.523074e-06,5.8173,1
vue,20260403,1524,4608050,33.07,3.974515e-05,4.4007,0
matin,20101018,1452,1857825,78.16,1.187281e-06,5.9254,1
matin,20140903,2832,4025701,70.35,2.131709e-05,4.6713,0
matin,20151115,2325,3400511,68.37,4.581515e-05,4.339,0
mettre,20080305,571,1269928,44.96,6.042549e-05,4.2188,0
mettre,20090105,459,902614,50.85,1.505825e-07,6.8222,0
mettre,20200311,2705,6011759,45.0,7.448075e-06,5.128,2
semble,20080123,293,1091918,26.83,3.140566e-06,5.503,0
semble,20080504,184,667799,27.55,6.531095e-06,5.185,1
semble,20081028,285,1103658,25.82,1.571711e-05,4.8036,3
semble,20220629,2503,6394293,39.14,5.478874e-22,21.2613,0
aucun,20150323,997,3862183,25.81,3.294096e-05,4.4823,0
aucun,20200317,1362,5125029,26.58,4.978065e-06,5.3029,0
aucun,20220611,4117,5239233,78.58,1.321006e-97,96.8791,0
sécurité,20091228,562,966844,58.13,1.769511e-05,4.7521,0
sécurité,20110317,1382,2363071,58.48,8.405378e-06,5.0754,1
sécurité,20151115,3256,3400511,95.75,4.5349460000000005e-17,16.3434,3
sécurité,20160323,2518,4422964,56.93,1.673515e-05,4.7764,0
sécurité,20160715,1903,3157355,60.27,2.69944e-06,5.5687,2
sécurité,20251020,2432,4488889,54.18,7.501455e-05,4.1249,0
sécurité,20260310,2695,4973894,54.18,7.355198e-05,4.1334,1
ville,20200311,6736,6011759,112.05,2.728242e-05,4.5641,0
ville,20220611,6439,5239233,122.9,1.810619e-06,5.7422,0
tant,20220521,1287,4193063,30.69,4.294866e-05,4.3671,0
tant,20220909,1570,5215608,30.1,9.852262e-05,4.0065,0
effet,20080501,330,648584,50.88,9.462742e-06,5.024,3
effet,20091207,731,1501602,48.68,1.293324e-05,4.8883,0
effet,20220629,3108,6394293,48.61,4.721097e-06,5.326,0
effet,20240422,3156,6320245,49.93,1.260521e-06,5.8994,1
effet,20240829,3434,6797116,50.52,6.705508e-07,6.1736,4
national,20081124,420,886136,47.4,7.633748e-05,4.1173,0
