media_a,media_b,annee,tranche,n,echo
lefigaro,mediapart,2019,3,170,27
lefigaro,mediapart,2020,0,790,77
lefigaro,mediapart,2020,1,295,29
lefigaro,mediapart,2020,2,224,34
lefigaro,mediapart,2020,3,129,29
lefigaro,mediapart,2021,0,609,51
lefigaro,mediapart,2021,1,215,14
lefigaro,mediapart,2021,2,125,11
lefigaro,mediapart,2021,3,104,11
lefigaro,mediapart,2022,0,616,40
lefigaro,mediapart,2022,1,244,30
lefigaro,mediapart,2022,2,141,23
lefigaro,mediapart,2022,3,113,21
lefigaro,mediapart,2023,0,623,48
lefigaro,mediapart,2023,1,227,18
lefigaro,mediapart,2023,2,161,16
lefigaro,mediapart,2023,3,101,10
lefigaro,mediapart,2024,0,87,7
lefigaro,mediapart,2024,1,32,5
lefigaro,mediapart,2024,2,27,4
lefigaro,mediapart,2024,3,16,2
ouestfrance,lemonde,2001,0,1,0
ouestfrance,lemonde,2001,2,1,1
ouestfrance,lemonde,2003,0,8,0
ouestfrance,lemonde,2003,1,3,0
ouestfrance,lemonde,2003,2,4,1
ouestfrance,lemonde,2003,3,5,0
ouestfrance,lemonde,2004,0,2,0
ouestfrance,lemonde,2004,1,4,0
ouestfrance,lemonde,2004,3,1,0
ouestfrance,lemonde,2005,0,3,0
ouestfrance,lemonde,2005,1,1,1
ouestfrance,lemonde,2005,3,1,0
ouestfrance,lemonde,2006,0,4,0
ouestfrance,lemonde,2006,1,3,0
ouestfrance,lemonde,2006,2,2,1
ouestfrance,lemonde,2006,3,1,0
ouestfrance,lemonde,2007,0,135,3
ouestfrance,lemonde,2007,1,66,2
ouestfrance,lemonde,2007,2,72,2
ouestfrance,lemonde,2007,3,125,2
ouestfrance,lemonde,2008,0,903,85
ouestfrance,lemonde,2008,1,531,53
ouestfrance,lemonde,2008,2,607,82
ouestfrance,lemonde,2008,3,963,160
ouestfrance,lemonde,2009,0,1817,87
ouestfrance,lemonde,2009,1,1000,67
ouestfrance,lemonde,2009,2,891,61
ouestfrance,lemonde,2009,3,706,74
ouestfrance,lemonde,2010,0,1352,116
ouestfrance,lemonde,2010,1,626,73
ouestfrance,lemonde,2010,2,605,81
ouestfrance,lemonde,2010,3,668,121
ouestfrance,lemonde,2011,0,1376,154
ouestfrance,lemonde,2011,1,697,96
ouestfrance,lemonde,2011,2,577,89
ouestfrance,lemonde,2011,3,638,156
ouestfrance,lemonde,2012,0,1099,95
ouestfrance,lemonde,2012,1,451,62
ouestfrance,lemonde,2012,2,383,56
ouestfrance,lemonde,2012,3,398,116
ouestfrance,lemonde,2013,0,877,45
ouestfrance,lemonde,2013,1,343,25
ouestfrance,lemonde,2013,2,234,20
ouestfrance,lemonde,2013,3,270,27
ouestfrance,lemonde,2014,0,801,44
ouestfrance,lemonde,2014,1,344,32
ouestfrance,lemonde,2014,2,257,43
ouestfrance,lemonde,2014,3,395,68
